Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jake Lyons",,0.0478999987244606,0.0658000037074089,0.039900001138448715,5.1176698207855225,0.44999998807907104,0.11699999868869781,0,0,,1,4.460000038146973,1.070199966430664,0.6079999804496765,0.5686299800872803,0.15788888931274414,0.43220001459121704,,0.044199999421834946,0.7432000041007996,6.688800036907196,3.8898001313209534,1.7195742226055504,1.4210000038146973,0.16663677079464378,0.09690583203913743,0.06973093875550636,0.2686514609767675,1.502399981021881,0.29596359540304873,0.6980107982952088,0.41999876090837535,,5.250395954400301,-0.0006645055046638204,,,,,,,,,2.732646714895964,2.732646714895964,3.0046444050967693,3.0046444050967693,,,,,,,,,,,,,,,,,,,"Jake Lyons","sa1055560",676784
"Aaron Leasher","SDP",0.049300000071525574,0.06440000236034393,0.043299999088048935,4.8648598194122314,0.44749999046325684,0.11749999970197678,0,0,,1,4.479000091552734,1.0276000499725342,0.5809999704360962,0.5405399799346924,0.1464444398880005,0.49230000376701355,,0.048700001090765,0.7613999843597412,6.852599859237671,4.430700033903122,1.5466178723006514,1.3179999589920044,0.1699932951097098,0.10991292558700261,0.060080369522707205,0.2609446488953655,1.5199000537395477,0.2907954931176357,0.7140587940896346,0.43065392386814694,,5.25901812389493,-0.000671579200599598,,,,,,,,,2.826773213595152,2.826773213595152,2.9960222356021404,2.9960222356021404,,,,,,,,,,,,,,,,,,,"Aaron Leasher","sa3004701",669468
"Zach Haake","PHI",0.04639999940991402,0.07440000027418137,0.05180000141263008,5.6305800676345825,0.20260000228881836,0.1695999950170517,0,0,,1,4.495999813079834,1.104099988937378,0.6636000275611877,0.6256200075149536,0.19300000369548798,0.429500013589859,,0.04670000076293945,0.670799970626831,6.0371997356414795,3.865500122308731,1.5618159473852677,1.7370000332593918,0.1491992879259757,0.09552936642487189,0.05366992150110381,0.27466541723968874,1.533600002527237,0.2886882243137454,0.6886179965081841,0.38269861139221767,,5.8510405093431475,-0.0006832653010547899,,,,,,,,,2.0684398815035823,2.0684398815035823,2.403999850153923,2.403999850153923,,,,,,,,,,,,,,,,,,,"Zach Haake","sa3008523",676252
"Gerson Garabito","TEX",0.04910000041127205,0.0681999996304512,0.04749999940395355,5.335110068321228,0.321399986743927,0.1444000005722046,0,0,,1,4.491000175476074,1.0963000059127808,0.6322000026702881,0.5927900075912476,0.17177778482437134,0.42719998955726624,,0.04580000042915344,0.7430999875068665,6.687899887561798,3.844799906015396,1.7394663054111656,1.546000063419342,0.16546425261007547,0.09512357445231681,0.07034067815775866,0.27284717653122254,1.523499995470047,0.2979328875870589,0.6946939080115396,0.4162973387310119,,5.420951557159424,-0.0007230269130011746,,,,,,,,,2.5039532363414763,2.5039532363414763,2.8340888023376465,2.8340888023376465,,,,,,,,,,,,,,,,,,,"Gerson Garabito","19835",642520
"Heath Fillmyer",,0.04809999838471413,0.0625,0.03319999948143959,5.014440178871155,0.557200014591217,0.094200000166893,0,0,,1,4.435999870300293,1.069100022315979,0.5961999893188477,0.5571600198745728,0.15555556118488312,0.4108999967575073,,0.0430000014603138,0.7533000111579895,6.7797001004219055,3.698099970817566,1.8332928135858555,1.400000050663948,0.16981515626306706,0.09262849611618489,0.07718666014688218,0.26847644626172684,1.4800000190734863,0.2972573515253903,0.7001936793362626,0.4240032330136016,,5.132362627238035,-0.0007535148468684472,,,,,,,,,2.8519065670669077,2.8519065670669077,3.122677732259035,3.122677732259035,,,,,,,,,,,,,,,,,,,"Heath Fillmyer","17466",641571
"Logan Henderson","MIL",0.045099999755620956,0.07649999856948853,0.05559999868273735,5.547240078449249,0.1754000037908554,0.1754000037908554,0,0,,1,4.552000045776367,1.0657000541687012,0.6557000279426575,0.6163600087165833,0.17711110413074493,0.5181000232696533,,0.04560000076889992,0.7649999856948853,6.884999871253967,4.66290020942688,1.476548834850619,1.5939999371767044,0.16805799165241672,0.11381810590058741,0.05423988575182931,0.2672065913698102,1.5838000774383545,0.29170513382443497,0.6947665147422821,0.3988030244400966,,5.718584813922644,-0.0007781824734961565,,,,,,,,,2.2896131776273254,2.2896131776273254,2.5364555455744267,2.5364555455744267,,,,,,,,,,,,,,,,,,,"Logan Henderson","31475",701656
"Tyler Joyner",,0.04610000178217888,0.0754999965429306,0.05469999834895134,5.590169906616211,0.1754000037908554,0.1754000037908554,0,0,,1,4.495999813079834,1.125499963760376,0.6590999960899353,0.6211299896240234,0.1850000023841858,0.4041999876499176,,0.04340000078082085,0.6748999953269958,6.074099957942963,3.6377998888492584,1.6697180008613328,1.6650000214576721,0.1501112151658828,0.08990213622207291,0.06020907894380989,0.2780110691902649,1.5296999514102936,0.2949662889834315,0.6851341708489089,0.3830009529696641,,5.653040365129709,-0.0007893022405830514,,,,,,,,,2.205200090259314,2.205200090259314,2.601999994367361,2.601999994367361,,,,,,,,,,,,,,,,,,,"Tyler Joyner","sa3006836",682125
"James Meeker","MIL",0.04659999907016754,0.06480000168085098,0.033900000154972076,5.083110094070435,0.52920001745224,0.10019999742507935,0,0,,1,4.381999969482422,1.110200047492981,0.602400004863739,0.5647900104522705,0.17944444715976715,0.2870999872684479,,0.05090000107884407,0.6858000159263611,6.17220014333725,2.583899885416031,2.3887148949439543,1.6150000244379044,0.15650388423151088,0.06551802584844804,0.09098585838306283,0.2745301811750636,1.3973000347614288,0.2928050285869345,0.6935829520799828,0.4041960870047266,,5.230218105763197,-0.0008011207295623758,,,,,,,,,2.6639132432639605,2.6639132432639605,3.0248222537338734,3.0248222537338734,,,,,,,,,,,,,,,,,,,"James Meeker","29891",703231
"Connor Noland","CHC",0.04520000144839287,0.07620000094175339,0.054999999701976776,5.548229813575745,0.18289999663829803,0.17389999330043793,0,0,,1,4.5,1.1797000169754028,0.6593999862670898,0.6164699792861938,0.16644445061683655,0.3853999972343445,,0.04010000079870224,0.5509999990463257,4.958999991416931,3.4685999751091003,1.4296834535556244,1.498000055551529,0.12244444423251682,0.08564444382985432,0.0368000004026625,0.28953246199678634,1.5651000142097473,0.3018286562649272,0.6799152716649483,0.45131680570099314,,5.593318213522434,-0.0008218007916722916,,,,,,,,,2.111013217270375,2.111013217270375,2.661722145974636,2.661722145974636,,,,,,,,,,,,,,,,,,,"Connor Noland","sa3020834",690939
"Wade LeBlanc",,0.04839999973773956,0.06729999929666519,0.04569999873638153,5.1679800152778625,0.3783000111579895,0.13230000436306,0,0,,1,4.431000232696533,1.1220999956130981,0.6115999817848206,0.5742200016975403,0.17755556106567383,0.32420000433921814,,0.04729999974370003,0.6614999771118164,5.953499794006348,2.9178000390529633,2.0404070581679368,1.5980000495910645,0.1492890865205966,0.0731663252795459,0.0761227612410507,0.2764133347508921,1.4462999999523163,0.29329627593123186,0.6969061841635501,0.38500519900161645,,5.354762711375952,-0.0008227332512942723,,,,,,,,,2.507106552273035,2.507106552273035,2.9002776481211185,2.9002776481211185,,,,,,,,,,,,,,,,,,,"Wade LeBlanc","5221",453281
"Zach King","MIA",0.04450000077486038,0.07460000365972519,0.050599999725818634,5.407560288906097,0.2660999894142151,0.15610000491142273,0,0,,1,4.589000225067139,1.0999000072479248,0.6430000066757202,0.6008400321006775,0.1451111137866974,0.5264000296592712,,0.06379999965429306,0.6751000285148621,6.0759002566337585,4.737600266933441,1.2824847843413716,1.3060000240802765,0.14711265970900778,0.11470908778427219,0.032403571924735586,0.2750575056027896,1.626300036907196,0.3003813570754944,0.6909347896186185,0.4369391244674047,,5.561884869635105,-0.0008238490106165585,,,,,,,,,2.334993250668049,2.334993250668049,2.693155489861965,2.693155489861965,,,,,,,,,,,,,,,,,,,"Zach King","sa3011592",669915
"Kyle Wilson",,0.04809999838471413,0.06369999796152115,0.03590000048279762,5.077349781990051,0.515999972820282,0.10300000011920929,0,0,,1,4.428999900817871,1.0585999488830566,0.6011000275611877,0.5641499757766724,0.1662222295999527,0.4011000096797943,,0.04490000009536743,0.7818999886512756,7.037099897861481,3.609900087118149,1.949389104416829,1.4960000663995743,0.17654098129622622,0.09056220787129078,0.08597877342493544,0.2657795575801349,1.459699958562851,0.29404075402561275,0.6997618112116943,0.389993719193326,,5.1901293963193895,-0.0008610651241375648,,,,,,,,,2.828906656801701,2.828906656801701,3.064910963177681,3.064910963177681,,,,,,,,,,,,,,,,,,,"Kyle Wilson","sa875768",663819
"Jeff Bain",,0.04749999940395355,0.06800000369548798,0.04340000078082085,5.244479835033417,0.385699987411499,0.1307000070810318,0,0,,1,4.429999828338623,1.0980000495910645,0.6197999715805054,0.5827199816703796,0.17666666209697723,0.3472000062465668,,0.05779999867081642,0.708899974822998,6.380099773406982,3.124800056219101,2.0417625635627648,1.589999958872795,0.16002257388096916,0.07837472228001795,0.08164785160095121,0.2727950553443173,1.4452000558376312,0.2934712518984567,0.6890583604520064,0.38700761747253315,,5.348907031863928,-0.0008615809236393601,,,,,,,,,2.5749998621642587,2.5749998621642587,2.9061333276331425,2.9061333276331425,,,,,,,,,,,,,,,,,,,"Jeff Bain","sa829808",656206
"Sam Aldegheri","PHI",0.04659999907016754,0.07479999959468842,0.05380000174045563,5.602049946784973,0.18449999392032623,0.17350000143051147,0,0,,1,4.586999893188477,1.0946999788284302,0.6635000109672546,0.6224499940872192,0.16955555975437164,0.5443000197410583,,0.04989999905228615,0.6654999852180481,5.989499866962433,4.898700177669525,1.2226712494602676,1.5260000377893448,0.14508393300952344,0.11866144155558485,0.026422491453938587,0.2741685066282632,1.6389999985694885,0.292976353548924,0.6959792569087726,0.4140771810659989,,5.910862722247839,-0.0009329528780163795,,,,,,,,,2.016646584123373,2.016646584123373,2.3441776372492313,2.3441776372492313,,,,,,,,,,,,,,,,,,,"Sam Aldegheri","26443",691951
"Adrian Alcantara",,0.047600001096725464,0.06790000200271606,0.04349999874830246,5.220449924468994,0.3889999985694885,0.12999999523162842,0,0,,1,4.466000080108643,1.0898000001907349,0.6194999814033508,0.580049991607666,0.1635555624961853,0.4097000062465668,,0.05139999836683273,0.7060999870300293,6.354899883270264,3.687300056219101,1.7234561295200037,1.4720000624656677,0.15810568167586156,0.09173757252521146,0.0663681091506501,0.2721166520130895,1.4995000064373016,0.2954297280555078,0.6926285994166297,0.41757670479840303,,5.352362711727619,-0.000942764515590592,,,,,,,,,2.583686541020871,2.583686541020871,2.902677647769451,2.902677647769451,,,,,,,,,,,,,,,,,,,"Adrian Alcantara","sa974592",674220
"Carlos Luna",,0.04830000177025795,0.07119999825954437,0.05350000038743019,5.3329503536224365,0.24639999866485596,0.16040000319480896,0,0,,1,4.394999980926514,1.0927000045776367,0.626800000667572,0.5925500392913818,0.20033332705497742,0.31189998984336853,,0.04839999973773956,0.6951000094413757,6.255900084972382,2.8070999085903168,2.228599012749069,1.8029999434947968,0.15815699942161118,0.07096700596062724,0.08718999346098394,0.27082558973939136,1.4045999944210052,0.2842595980638566,0.6919107978281752,0.3379967566634015,,5.55007356107235,-0.0009540101663298516,,,,,,,,,2.4041801154613496,2.4041801154613496,2.7049667984247208,2.7049667984247208,,,,,,,,,,,,,,,,,,,"Carlos Luna","sa828727",650690
"Sean Harney","TBR",0.04969999939203262,0.0658000037074089,0.04769999906420708,4.981769800186157,0.3831999897956848,0.13120000064373016,0,0,,1,4.426000118255615,1.049299955368042,0.5920000076293945,0.5535299777984619,0.15788888931274414,0.40049999952316284,,0.05249999836087227,0.7771999835968018,6.994799852371216,3.6044999957084656,1.940574243500973,1.4210000038146973,0.1755987263513932,0.09048802277958563,0.08511070357180757,0.26410770792272337,1.4497999548912048,0.2934289363456587,0.6981046598636845,0.41533898697110916,,5.112195947021246,-0.000956702110403289,,,,,,,,,2.9251867510378364,2.9251867510378364,3.1428444124758244,3.1428444124758244,,,,,,,,,,,,,,,,,,,"Sean Harney","sa3020472",686184
"Yusniel Padron-Artiles",,0.04749999940395355,0.0731000006198883,0.054999999701976776,5.449770212173462,0.20430000126361847,0.16930000483989716,0,0,,1,4.426000118255615,1.0987999439239502,0.6401000022888184,0.6055300235748291,0.20088888704776764,0.34290000796318054,,0.042899999767541885,0.7024999856948853,6.322499871253967,3.086100071668625,2.0487021562575096,1.8079999834299088,0.15872118547790642,0.07747401690046159,0.08124716857744484,0.27196671300055897,1.4416999518871307,0.28624963021715505,0.6907631896929166,0.33699523340945486,,5.618995942920447,-0.0009654403094451773,,,,,,,,,2.319786783307791,2.319786783307791,2.636044416576624,2.636044416576624,,,,,,,,,,,,,,,,,,,"Yusniel Padron-Artiles","sa3008040",681548
