Season,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
2017,"David Hernandez","- - -",55,10.389841902146646,,3.646160222552149,,,7.427783265405772,,-0.004634653183228192,,,,,,"David Hernandez",4259,456696
2017,"Mark Melancon","SFG",30,6.809469194554571,,6.2218560553216316,8.257494926452637,,,,,-7.4483642578125,,,,,"Mark Melancon",4264,453343
2017,"Matt Albers","WSN",61,8.15791658460259,,,,,4.340438050794766,4.9442254929315474,0.0885106548666954,,,3.2499668054413378,,,"Matt Albers",4300,458006
2017,"Justin Wilson","- - -",58,12.226876253695101,,6.6201422906691025,,,10.850774664627878,0.47104096008559404,,,,6.470073223114014,,,"Justin Wilson",4301,458677
2017,"Tyler Chatwood","COL",147.2,9.712478168749076,,3.5260704303609915,,,8.184237902677513,,-6.705592813527012,,,5.149575050060566,,,"Tyler Chatwood",4338,543022
2017,"Craig Breslow","- - -",35.1,10.436833121559836,,,,,5.8021474816333285,,0.5085425251408627,,,8.246425033709325,,,"Craig Breslow",4363,444520
2017,"Jeremy Hellickson","- - -",164,9.997392746497844,,9.024828875506365,,,7.125114113756968,,,-6.815420782674772,,6.606243718561866,,,"Jeremy Hellickson",4371,476451
2017,"Jordan Zimmermann","DET",160,9.74331449468085,,,,,6.900595703125,4.214667785930187,-3.144498658411711,,,5.203377429349922,,,"Jordan Zimmermann",4505,519455
2017,"Jason Hammel","KCR",180.1,10.221416706440916,,,,,7.3452700791855206,0.4039106859184795,-6.155990920700393,,,5.16528890734521,,,"Jason Hammel",4538,434628
2017,"Chris Smith","OAK",55.2,9.093650348120688,,,,,5.543973445892334,,2.1197107675913216,0.9948734870323768,,5.175896417526972,,,"Chris Smith",4544,434672
2017,"Brandon McCarthy","LAD",92.2,9.65556609887871,,8.700062790357997,,,6.404209717191924,2.1263295128231956,-2.9263770296642635,,,7.108543350889876,,,"Brandon McCarthy",4662,435221
2017,"Charlie Morton","HOU",146.2,7.588322897518382,,2.1686080007842095,1.1996194229644983,,3.2602614618592844,,-6.13473821778065,,,,,,"Charlie Morton",4676,450203
2017,"Pat Neshek","- - -",62.1,,,,,,5.844564998851103,2.3512441829759245,,,,6.176221529642741,,,"Pat Neshek",4682,450212
2017,"Matt Cain","SFG",124.1,8.13785632626041,,,,,5.41300676628911,3.0769469521262427,-3.199587696003464,,,2.610061484442817,,,"Matt Cain",4732,430912
2017,"Félix Hernández","SEA",86.2,8.76505016722408,,,,,6.213655911959135,3.128325100602775,-4.742504222972973,,,1.6199978450157122,,,"Felix Hernandez",4772,433587
2017,"Matt Shoemaker","LAA",77.2,10.319750746963166,,,4.105078509473425,,6.664223335884713,3.487140990700183,,0.04349410533905029,,,,,"Matt Shoemaker",4776,533167
2017,"Rich Hill","LAD",135.2,11.969185607074058,,8.85106784194263,,,6.454029628208706,1.3568347807853454,-5.813944615758055,,,6.331729343959263,,,"Rich Hill",4806,448179
2017,"Joe Blanton","WSN",44.1,10.292258933738426,,,,,8.626187481457674,4.544032305136494,-3.4038793542882897,,,4.816876944849047,,,"Joe Blanton",4849,430599
2017,"Mike Montgomery","CHC",130.2,7.042012108312557,,4.086687991493626,,,,,-4.703660629734848,,,4.434866382229712,,,"Mike Montgomery",4869,543557
2017,"Brandon Maurer","- - -",59.1,10.596363257009086,,,,,5.761290995279948,-1.0609339838442595,,,,6.627855573381696,,,"Brandon Maurer",4878,543506
2017,"Peter Moylan","KCR",59.1,,,,,,-2.7865822161226337,-0.7261689951722051,,,,-2.6429933401254506,,,"Peter Moylan",4891,493247
2017,"Jon Lester","CHC",180.2,9.644286493376788,,6.207275665868095,,,4.8827391262003035,,-2.0540493104516004,,,4.3814362260632045,,,"Jon Lester",4930,452657
2017,"Fernando Salas","- - -",58.2,11.223343434053309,,,,,9.488760630289713,,,1.638557118071607,,7.681835089789496,,,"Fernando Salas",4971,477569
2017,"Cole Hamels","TEX",148,9.560843174932675,,5.849676262842466,,,6.436933811166512,,-4.140046084604933,,,5.800993213094927,,,"Cole Hamels",4972,430935
2017,"Fernando Abad","BOS",43.2,9.09818577122044,,,,,7.445104778142265,,,-4.075794911755182,,9.98733502867594,,,"Fernando Abad",4994,472551
2017,"Josh Fields","LAD",57,12.32361725417852,,,,,,,,-4.9140187458819655,,5.31463623046875,,,"Josh Fields",5070,451661
2017,"Jeurys Familia","NYM",24.2,8.229653347744032,,,4.133246380349864,,3.928433032746011,1.8666553497314453,,,,,,,"Jeurys Familia",5114,544727
2017,"Mike Pelfrey","CHW",120,9.902691523234049,,,-0.6675556490498205,,5.089636393955776,2.6513637295729824,-4.952814381024991,,,,,,"Mike Pelfrey",5203,460059
2017,"Wade LeBlanc","PIT",68,8.990491959492015,,6.7783207469139235,,,7.214582294437057,3.2444019586267605,-2.403480945933949,,,4.1708082480938575,,,"Wade LeBlanc",5221,453281
2017,"Blake Parker","LAA",67.1,10.320676760932509,,,1.1837962591826026,,7.5974836349487305,,-5.450370700880029,,,,,,"Blake Parker",5224,453284
2017,"Chris Tillman","BAL",93,9.902204257338795,,13.554769243512835,,,7.976450417258523,2.5799391043929525,,-8.051043563418919,,7.690547827518348,,,"Chris Tillman",5279,501957
2017,"Jose Alvarez","LAA",48.2,9.853498915755704,,4.851149291992187,,,6.591772008825232,3.1019901584934546,-0.11741471457314658,,,4.574531437800481,,,"Jose Alvarez",5358,501625
