Season,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
2014,"Ross Detwiler","WSN",63,0.45205479,,,,,0.40704501,0.09784736,,,,0.04305284,,,,"Ross Detwiler",2859,446321
2014,"Santiago Casilla","SFG",58.1,0.21922626,,,,,0.41383353,0.13599062,,0.20046893,,0.03048066,,,,"Santiago Casilla",2873,433586
2014,"Luis Avilán","ATL",43.1,0.20524017,,,,,0.6069869,,0.09606987,,,0.09170306,,,,"Luis Avilan",2882,501593
2014,"Juan Carlos Oviedo","TBR",31.2,0.42829828,,,,,0.06309751,0.03441683,,,,0.47418738,,,,"Juan Carlos Oviedo",2886,434663
2014,"Zach McAllister","CLE",86,0.44680851,,0.00617708,,,0.28208648,0.10432395,0.08510638,,,0.0754976,,,,"Zach McAllister",2895,502083
2014,"Jeff Locke","PIT",131.1,0.00307062,,,,,0.6171955,,,0.13920164,,0.24053224,,,,"Jeff Locke",2929,502046
2014,"Kenley Jansen","LAD",65.1,0.04932302,,0.89168279,,,,0.0589942,,,,,,,,"Kenley Jansen",3096,445276
2014,"Tony Watson","PIT",77.1,,,,,,0.68311037,0.10200669,,,,0.21488294,,,,"Tony Watson",3132,453265
2014,"Max Scherzer","DET",220.1,0.55016538,,0.00055127,,,,0.13671444,0.1014333,,,0.21113561,,,,"Max Scherzer",3137,453286
2014,"Tim Collins","KCR",21,0.58776596,,0.00265957,,,,,0.19414894,,,0.21542553,,,,"Tim Collins",3164,525768
2014,"David Price","- - -",248.1,0.12,,0.14201342,,,0.44832215,,0.00053691,0.0904698,,0.19865772,,,,"David Price",3184,456034
2014,"Will Harris","ARI",29,0.34018265,,0.38584475,,,,,0.23972603,,,0.03424658,,,,"Will Harris",3192,501789
2014,"Chris Young","SEA",165,0.66432532,,,,,,0.27097967,0.00850277,,,0.05619224,,,,"Chris Young",3196,432934
2014,"Ervin Santana","ATL",196,0.50588631,,,,,0.01849983,0.33770602,,,,0.13790784,,,,"Ervin Santana",3200,429722
2014,"Francisco Liriano","PIT",162.1,0.04342943,,,,,0.3841258,0.31486335,0.00037439,,,0.25720704,,,,"Francisco Liriano",3201,434538
2014,"Jean Machi","SFG",66.1,0.28867102,,,,,0.06971678,,0.15141612,,,0.49019608,,,,"Jean Machi",3220,466948
2014,"T.J. McFarland","BAL",58.2,0.01866978,,,,,0.71411902,0.17619603,,,,0.09101517,,,,"T.J. McFarland",3237,519008
2014,"Zack Britton","BAL",76.1,0.00761905,,,,,0.90666667,0.08571429,,,,,,,,"Zack Britton",3240,502154
2014,"Jeff Samardzija","- - -",219.2,0.34505561,,0.13134956,0.11632101,,0.20048091,0.20679291,,,,,,,,"Jeff Samardzija",3254,502188
2014,"Juan Gutierrez","SFG",63.2,0.31428571,,,,,0.26878307,,0.35343915,,,0.06349206,,,,"Juan Gutierrez",3265,434641
2014,"Jordan Walden","ATL",50,0.64426419,,,,,,0.24913094,,,,0.10660487,,,,"Jordan Walden",3271,477229
2014,"Roberto Hernandez","- - -",164.2,0.09520295,,,,,0.54686347,0.11918819,,,,0.23874539,,,,"Roberto Hernandez",3273,433584
2014,"Joe Smith","LAA",74.2,0.21408966,,,,,0.49222324,0.2936871,,,,,,,,"Joe Smith",3281,501925
2014,"Hiroki Kuroda","NYY",199,0.08371041,,0.00646412,0.27472527,,0.37879767,0.21719457,0.03910795,,,,,,,"Hiroki Kuroda",3283,493133
2014,"Aníbal Sánchez","DET",126,0.34580336,,0.05227818,0.18177458,,0.06858513,0.23501199,0.07961631,,,0.03693046,,,,"Anibal Sanchez",3284,434671
2014,"Hector Noesí","- - -",172.1,0.48416454,,,,,0.02875865,0.12631962,0.09064434,,,0.27011285,,,,"Hector Noesi",3292,456051
2014,"Chris Hatcher","MIA",56,0.39542484,,,0.2254902,,0.21350763,0.16557734,,,,,,,,"Chris Hatcher",3299,501822
2014,"Darren O'Day","BAL",68.2,0.30761905,,,,,0.24571429,0.43714286,,,,0.00952381,,,,"Darren O'Day",3321,503285
2014,"Matt Garza","MIL",163.1,0.56205534,,,,,0.11422925,0.21462451,0.09802372,,,0.01106719,,,,"Matt Garza",3340,490063
2014,"Cesár Ramos","TBR",82.2,0.55624515,,,,,0.00930954,0.24825446,0.0806827,0.0007758,,0.10473235,,,,"Cesar Ramos",3357,459987
2014,"Ubaldo Jiménez","BAL",125.1,0.37315378,,0.00304083,0.16594266,,0.21242398,0.21112076,0.03431798,,,,,,,"Ubaldo Jimenez",3374,434622
2014,"Jumbo Díaz","CIN",34.2,0.4516696,,0.00351494,,,0.17223199,0.30404218,,,,0.0685413,,,,"Jumbo Diaz",3397,471822
2014,"André Rienzo","CHW",64.2,0.14794304,,0.3971519,,,0.18275316,,0.21914557,,,0.05300633,,,,"Andre Rienzo",3507,516589
2014,"Danny Duffy","KCR",149.1,0.55136703,,,,,0.13090307,,0.22493786,,,0.09279205,,,,"Danny Duffy",3542,518633
2014,"Clay Buchholz","BOS",170.1,0.28054133,,0.24140454,0.03657644,,0.1759327,,0.16203365,,,0.10351134,,,,"Clay Buchholz",3543,453329
2014,"Carlos Frías","LAD",32.1,0.2832981,,0.26638478,,,0.30021142,,0.05496829,,,0.09513742,,,,"Carlos Frias",3547,516910
2014,"Liam Hendriks","- - -",32.2,0.2173913,,,,,0.42028986,0.17934783,0.05615942,,,0.12681159,,,,"Liam Hendriks",3548,521230
2014,"C.J. Wilson","LAA",175.2,0.29672822,,0.06964691,,,0.24425008,0.09037901,0.17525105,,,0.12374474,,,,"C.J. Wilson",3580,450351
2014,"Brian Schlitter","CHC",56.1,0.06718925,,,,,0.80067189,0.12989922,,,,0.00223964,,,,"Brian Schlitter",3599,489295
2014,"Jim Johnson","- - -",53.1,0.03858186,,,,,0.70072993,,0.15849844,,,0.10218978,,,,"Jim Johnson",3656,462382
2014,"Logan Ondrusek","CIN",41,0.54197349,,0.1443299,,,0.07069219,,0.1281296,,,0.11487482,,,,"Logan Ondrusek",3677,446185
2014,"Brandon League","LAD",63,0.01497326,,,0.1828877,,0.76898396,0.03315508,,,,,,,,"Brandon League",3731,434181
2014,"Mat Latos","CIN",102.1,0.29777487,,0.25981675,0.14594241,,0.08835079,0.12303665,0.08507853,,,,,,,"Mat Latos",3815,502009
2014,"Ricky Nolasco","MIN",159,0.3038695,,0.00113809,0.10091047,,0.18588771,0.27010622,0.13808801,,,,,,,"Ricky Nolasco",3830,445060
2014,"Zach Duke","MIL",58.2,0.06358974,,,,,0.43076923,0.19487179,0.29230769,,,0.01846154,,,,"Zach Duke",3840,435043
2014,"Brett Oberholtzer","HOU",143.2,0.19608715,,,,,0.3445976,0.00666963,,0.20364606,,0.24899956,,,,"Brett Oberholtzer",3855,519085
2014,"Rubby De La Rosa","BOS",101.2,0.484,,,,,0.14057143,0.12628571,0.00857143,,,0.24057143,,,,"Rubby De La Rosa",3862,523989
2014,"Zeke Spruill","ARI",22.2,0.14769231,,,,,0.50461538,0.14769231,0.17538462,,,0.02461538,,,,"Zeke Spruill",3873,543809
2014,"Gavin Floyd","ATL",54.1,0.36803874,,0.17554479,,,0.21791768,,0.17191283,,,0.06658596,,,,"Gavin Floyd",3886,425856
2014,"Casey Fien","MIN",63.1,0.48073022,,,,,0.04462475,0.40466531,0.06997972,,,,,,,"Casey Fien",3926,502272
2014,"David Carpenter","ATL",61,0.6993988,,,,,0.0240481,0.25851703,,,,0.01803607,,,,"David Carpenter",3959,502304
2014,"Edward Mujica","BOS",60,0.40170032,,,0.32624867,,0.03931987,0.23273114,,,,,,,,"Edward Mujica",3970,465629
2014,"Edinson Volquez","PIT",192.2,0.19857675,,,,,0.35953914,,,0.25923416,,0.18264995,,,,"Edinson Volquez",3990,450172
2014,"Allen Webster","BOS",59,0.46757322,,,,,0.13493724,0.17050209,0.01150628,,,0.21548117,,,,"Allen Webster",3993,543903
2014,"Josh Outman","- - -",28.1,0.38446215,,,,,0.16533865,0.35059761,0.01195219,,,0.0876494,,,,"Josh Outman",4004,489189
2014,"Yusmeiro Petit","SFG",117,0.43814122,,0.06095353,,,,0.14785757,0.24260712,,,0.11044056,,,,"Yusmeiro Petit",4020,433589
2014,"Héctor Santiago","LAA",127.1,0.15269197,,0.08252427,,,0.4646955,0.00176523,0.08958517,,,0.20300088,0.00573698,,,"Hector Santiago",4026,502327
2014,"Eury De La Rosa","ARI",36.2,0.18707483,,,,,0.22108844,0.33843537,0.13095238,,,0.12244898,,,,"Eury De La Rosa",4055,545001
2014,"Brian Duensing","MIN",54.1,0.19212963,,,,,0.39467593,0.26736111,0.05555556,,,0.09027778,,,,"Brian Duensing",4064,488846
2014,"Pedro Strop","CHC",61,0.155902,,,,,0.44988864,0.38195991,,,,0.01224944,,,,"Pedro Strop",4070,467008
