Season,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
2016,"Germán Márquez","COL",6.532260074080213,2.612904029632085,2.5,0.8709680098773618,0.15306122,0.06122449,0.09183674,0.3146067415730337,1.6451617964350167,0.3611111111111111,0.73099415,108.40302532388381,96.74014264255167,94.15358580518293,5.22580805926417,4.259463951019647,0.966344108244523,3.8879287503783533,3.9682987859995884,"German Marquez",15038,608566
2021,"Ryne Stanek","HOU",10.931709351276185,4.8731716385207084,2.24324324,1.0536587326531262,0.2862069,0.12758621,0.15862069,0.18548387096774194,1.2146343723640205,0.24203821656050956,0.72916667,79.85195997285459,97.23894345767927,106.07846549452489,3.42439088112266,4.106619662603153,-0.682228781480493,4.546983475582654,3.9682458551534863,"Ryne Stanek",15947,592773
2017,"Wade LeBlanc","PIT",7.147060427286581,2.250000504886516,3.17647059,1.3235297087567741,0.19081272,0.06007067,0.13074205,0.24150943396226415,1.1911767378810967,0.26865671641791045,0.69117647,105.62381849820304,99.0591546980177,94.0194373908716,4.500001009773032,4.275287003830699,0.22471400594233337,4.063851800990718,3.9680777212034726,"Wade LeBlanc",5221,453281
2016,"Kyle Ryan","DET",5.658685219900723,2.425150808528881,2.33333333,0.32335344113718417,0.15486726,0.06637168,0.08849558,0.23076923076923078,1.1317370439801446,0.26900584795321636,0.71202532,72.78972591376763,77.1400417114357,98.98770563948109,3.0718576908032493,3.3262011834747867,-0.25434349267153733,4.205579434484917,3.9670274863308848,"Kyle Ryan",11753,594986
2024,"Zach Eflin","- - -",7.294354894809992,1.3064516229510432,5.58333333,1.1975806543717895,0.19590643,0.03508772,0.16081871,0.2526636225266362,1.1491935572254546,0.2874251497005988,0.75215783,92.50053061834103,94.06790687584515,92.92818355998382,3.592741963115369,3.7652701054756896,-0.17252814236032066,3.809602550214079,3.9667455969497936,"Zach Eflin",13774,621107
2014,"Taijuan Walker","SEA",8.052631578947368,4.2631578947368425,1.88888889,0.47368421052631576,0.2125,0.1125,0.1,0.22302158273381295,1.2894736842105263,0.2815533980582524,0.81300813,70.85537291151894,98.89967193251002,102.33118828316208,2.6052631578947367,3.6848837476027643,-1.0796205897080275,3.8788539760991148,3.9662237833910865,"Taijuan Walker",11836,592836
2021,"Adam Morgan","CHC",9.947371916098515,4.263159392613649,2.33333333,2.1315796963068245,0.25925926,0.11111111,0.14814815,0.23157894736842105,1.3421057347117045,0.26229508196721313,0.7518797,102.59983385610457,132.9730169653377,99.82028358584985,4.263159392613649,5.577929705332158,-1.314770312718509,4.240128702319273,3.966195258912584,"Adam Morgan",12580,605388
2023,"Sam Moll","- - -",9.818185323179584,4.331552348461582,2.26666667,0.28877015656410543,0.25373134,0.1119403,0.14179105,0.20346320346320346,1.2352945586353399,0.2795031055900621,0.7635468,72.72290872770574,75.51027968211385,97.88884773659288,3.032086643923107,3.271083145972854,-0.23899650204974732,4.233237893817654,3.965723167443357,"Sam Moll",14874,594580
2018,"Sam Tuivailala","- - -",7.297297673472722,2.918919069389089,2.5,0.7297297673472722,0.18181818,0.07272727,0.10909091,0.271523178807947,1.432432506274275,0.3220338983050847,0.78740157,87.24273402702826,93.18415914780557,100.64816273771949,3.4054055809539374,3.7279991726008026,-0.3225935916468652,4.102369006488771,3.9653047652915823,"Sam Tuivailala",13485,592815
2024,"Sean Manaea","NYM",9.115596840708145,3.1211010921989844,2.92063492,1.0403670307329949,0.24932249,0.08536585,0.16395664,0.2012012012012012,1.0844037304465606,0.24511930585683298,0.74178935,87.49673571876448,94.98393484341739,99.32219631363647,3.4678901024433157,3.8325348614574795,-0.3646447590141637,4.035993900054773,3.964953326715085,"Sean Manaea",15873,640455
