Season,Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,NameASCII,PlayerId,MLBAMID
2019,"J.B. Wendelken","OAK",32.2,4.916007895022631,,,,,2.498592097312212,1.5495754219591618,-0.9685670621693134,,,-0.7996693067252636,,,"J.B. Wendelken",14506,605525
2019,"Dereck Rodríguez","SFG",99,-16.58437665551901,,3.54576563462615,,,-0.8762019239366055,,1.979635663330555,,,0.20909369736909866,,,"Dereck Rodriguez",14509,605446
2019,"José Leclerc","TEX",68.2,0.7620715089142323,,,,,0.0411599837243557,6.6600186340510845,-0.1510198824107647,,,0.0705377496778965,,,"Jose Leclerc",14524,600917
2019,"Jorge López","KCR",123.2,-12.50436371192336,,,,,-3.1463343165814877,-0.02084338292479515,,1.7433317638933659,,-3.5996338352560997,,,"Jorge Lopez",14527,605347
2019,"Carlos Estévez","COL",72,-5.8479842357337475,,,,,0.03684468939900398,5.261805038899183,,,,0.5574498809874058,,,"Carlos Estevez",14542,608032
2019,"José Ruiz","CHW",40,-8.370601709932089,,,,,,-2.7829853370785713,-0.5021161586046219,,,0.10261161625385284,,,"Jose Ruiz",14552,614179
2019,"Rowan Wick","CHC",33.1,5.744819216430187,,0.44062579050660133,,,,0.6873326562345028,,1.2349920012056828,,,,,"Rowan Wick",14646,592858
2019,"Chi Chi González","COL",63,4.675146780908108,,0.058752331882715225,,,-3.8970716409385204,-4.123846780508757,,,,0.7318975999951363,,,"Chi Chi Gonzalez",14663,592346
2019,"Jandel Gustave","SFG",24.1,3.632364470511675,,,,,1.813536398112774,0.3909328728914261,,,,,,,"Jandel Gustave",14665,594311
2019,"Luis Perdomo","SDP",72,-0.08657846972346306,,,2.762677911669016,,3.9111842587590218,3.249945305287838,,,,,,,"Luis Perdomo",14682,606131
2019,"Keone Kela","PIT",29.2,-0.9595907106995583,,,,,,,7.010213699191809,,,0.03785552829504013,,,"Keone Kela",14696,605309
2019,"Edwin Díaz","NYM",58,0.07360729202628136,,,,,-0.5475629903376102,-2.7189275547862053,,,,,,,"Edwin Diaz",14710,621242
2019,"Ty Buttrey","LAA",72.1,5.5624685510993,,,,,-0.062041692435741425,4.313111502677202,,,,-1.928885094821453,,,"Ty Buttrey",14719,621142
2019,"Tyler Olson","CLE",30.2,0.005895201116800308,,,,,-0.7920332700014114,,-2.339073821902275,,,0.024157442152500153,,,"Tyler Olson",14741,621397
2019,"Wes Parsons","- - -",34.2,1.311805333942175,,,,,-2.503006901592016,1.0074594840407372,,,,-2.770555417984724,,,"Wes Parsons",14764,641149
2019,"Julio Urías","LAD",79.2,16.215278197079897,,,,,-0.629116103053093,1.4447936937212944,-2.1333358958363533,,,0.5701893642544746,,,"Julio Urias",14765,628711
2019,"Emilio Pagán","TBR",70,12.542526226490736,,5.971877336502075,,,,,-0.7023959495127201,,,,,,"Emilio Pagan",14771,641941
2019,"Buck Farmer","DET",67.2,-3.3685999996960163,,,,,,4.165839496999979,,,,2.3740055933594704,,,"Buck Farmer",14814,571656
2019,"Dylan Covey","CHW",58.2,1.4081623181700706,,-6.064797904342413,-0.7710099779069424,,-3.8827912993729115,,-3.8724276311695576,,,-0.050806157290935516,,,"Dylan Covey",14825,592229
2019,"Michael Lorenzen","CIN",83.1,-2.125912692397833,,6.897129207849503,,,0.24318715184926987,-1.6121490523219109,0.4837249107658863,,,6.652302443981171,,,"Michael Lorenzen",14843,547179
2019,"Zack Godley","- - -",92,0.17990243434906006,,2.2627270445227623,,,-10.320102974772453,,,2.5849985852837563,,0.2133096046745777,,,"Zack Godley",14862,643327
2019,"Caleb Smith","MIA",153.1,5.961992919445038,,,,,,-1.1790649481117725,,,,-3.082018055021763,,,"Caleb Smith",14875,592761
2019,"Jon Gray","COL",150,-10.137614626437426,,,,,-1.9511578865349293,15.776451922953129,1.5897474624216557,,,-3.415765419602394,,,"Jon Gray",14916,592351
2019,"Reyes Moronta","SFG",56.2,7.0729188323020935,,,,,,2.5357907228171825,,,,-1.5749670155346394,,,"Reyes Moronta",14966,606625
2019,"Tyler Webb","STL",55,4.693724516779184,,,,,5.071125503629446,,5.126236576586962,,,-2.2316167540848255,,,"Tyler Webb",14974,643778
2019,"Giovanny Gallegos","STL",74,9.227095767855644,,,,,,13.410606522113085,,,,0.5465518347918987,,,"Giovanny Gallegos",14986,606149
2019,"Scott Barlow","KCR",70.1,2.852548521012068,,,,,-0.956746581941843,0.9967053271830082,1.473210696130991,,,-1.3626748472452164,,,"Scott Barlow",14993,605130
2019,"Victor Alcántara","DET",42.2,,,,,,-0.5111703015863895,-0.6246029511094093,,,,-1.1326539479196072,,,"Victor Alcantara",15028,622505
2019,"Germán Márquez","COL",174,7.818878896534443,,,,,-2.738441579043865,-6.697227086871862,,13.709721751511097,,-3.5299670472741127,,,"German Marquez",15038,608566
2019,"Tim Mayza","TOR",51.1,-7.168095730245113,,,,,10.351100347936153,-2.465289257466793,,,,,,,"Tim Mayza",15042,641835
2019,"Lou Trivino","OAK",60,2.549678586423397,,-1.850780677050352,,,-5.9430337473750114,-0.08923399448394775,1.4400391541421413,,,-0.7852915078401566,,,"Lou Trivino",15043,642152
2019,"Trevor Gott","SFG",52.2,12.86868255585432,,,,,1.8184230960905552,0.5421214066445827,-4.496730361133814,,,0.5520653575658798,,,"Trevor Gott",15046,641627
2019,"Austin Voth","WSN",43.2,5.8926260732114315,,,,,,-2.261881873011589,2.686743553727865,,,-0.8215430788695812,,,"Austin Voth",15047,608723
