Season,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
2023,"Adrián Martínez","OAK",55,0.26488706,0.65350877,0.45281018,0.57364341,0.87583893,0.78454333,0.4835631,20.01285714,"Adrian Martinez",21023,661309
2024,"Yohan Ramírez","- - -",45,0.19887955,0.60891089,0.41655716,0.47887324,0.86585366,0.77917981,0.53088042,20.01277372,"Yohan Ramirez",19444,670990
2024,"Josh Staumont","MIN",24.1,0.27619048,0.5952381,0.43571429,0.46551724,0.896,0.75956284,0.5,20.01269841,"Josh Staumont",18335,622251
2021,"Tarik Skubal","DET",149.1,0.25679229,0.67069701,0.4852768,0.5665529,0.82290562,0.76213592,0.55202199,20.01260504,"Tarik Skubal",22267,669373
2023,"Aroldis Chapman","- - -",58.1,0.23839662,0.63670412,0.44940476,0.36283186,0.69117647,0.60927152,0.5297619,20.01192053,"Aroldis Chapman",10233,547973
2020,"Josh Fleming","TBR",32.1,0.28063241,0.7235023,0.48510638,0.56338028,0.91719745,0.80701754,0.46170213,20.01186944,"Josh Fleming",20418,676596
2017,"Brandon Maurer","- - -",59.1,0.24786325,0.67863555,0.48195122,0.60344828,0.85185185,0.79352227,0.54341463,20,"Brandon Maurer",4878,543506
2019,"Luis Castillo","CIN",190.2,0.32919955,0.65661253,0.46723182,0.47431507,0.78680801,0.65945569,0.42158461,19.99826314,"Luis Castillo",15689,622491
2023,"Rafael Montero","HOU",67.1,0.28967643,0.70364238,0.48922586,0.59042553,0.79294118,0.73083197,0.4820431,19.99368421,"Rafael Montero",12760,606160
2023,"Tanner Bibee","CLE",142,0.28306878,0.64928511,0.47051227,0.60124611,0.83031088,0.76303751,0.51183814,19.99303944,"Tanner Bibee",30134,676440
2024,"Mitch Spence","OAK",151.1,0.30399348,0.69776715,0.50302297,0.52546917,0.90514286,0.79166667,0.50544135,19.98901099,"Mitch Spence",27707,687765
2015,"Marcus Stroman","TOR",27,0.22435897,0.60829493,0.44772118,0.62857143,0.89393939,0.83832335,0.58176944,19.98818898,"Marcus Stroman",13431,573186
2024,"Cam Booser","BOS",42.2,0.30487805,0.71934605,0.52374101,0.55,0.8030303,0.73351648,0.52805755,19.984375,"Cam Booser",16061,592155
2023,"Thomas Hatch","- - -",28.2,0.3083004,0.70135747,0.49156118,0.41025641,0.86451613,0.71244635,0.46624473,19.98255814,"Thomas Hatch",19264,641672
2016,"José Fernández","MIA",182.1,0.31767956,0.60082023,0.45997939,0.44565217,0.81114903,0.68558626,0.50257643,19.97794463,"Jose Fernandez",11530,605228
2024,"Kevin Gausman","TOR",181,0.29828179,0.69709837,0.49476987,0.61751152,0.86598985,0.78999295,0.49267782,19.97302241,"Kevin Gausman",14107,592332
2024,"Nick Mears","- - -",57.2,0.30952381,0.63957597,0.49124514,0.54545455,0.81491713,0.73861386,0.55058366,19.97272727,"Nick Mears",25376,683232
2023,"Scott McGough","ARI",70.1,0.30130293,0.64620355,0.47445255,0.45945946,0.81,0.6991453,0.50202758,19.97106109,"Scott McGough",12056,543518
2014,"Alex Wood","ATL",171.2,0.26955075,0.60108548,0.45216741,0.55864198,0.86907449,0.78595041,0.55082212,19.97014144,"Alex Wood",13781,622072
