Season,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
2024,"Justin Steele","CHC",134.2,0.7771039690290179,,,,,7.456645440617833,-6.294656050832648,-5.575822656804865,,,7.446544590281017,,,"Justin Steele",17312,657006
2024,"Erick Fedde","- - -",177.1,-1.8858729468451605,,1.156823495215471,,,-5.53317956036055,6.00042002237886,,,,-6.539793376681171,,,"Erick Fedde",17425,607200
2024,"Jeff Hoffman","PHI",66.1,-7.820066486173274,,,-9.637604777018229,,-10.400133086413872,2.2171624875536153,,,,,,,"Jeff Hoffman",17432,656546
2024,"Jonathan Hernández","- - -",43.1,,,,,,-10.30274520049224,2.1395064900716148,,,,-11.116388829549154,,,"Jonathan Hernandez",17464,642546
2024,"Jack Flaherty","- - -",162,-2.9956038540633267,,,,,-7.042431847523835,3.070022296649841,,6.831915501185826,,-7.484765842982701,,,"Jack Flaherty",17479,656427
2024,"Génesis Cabrera","TOR",62.2,6.003949938322369,,0.774204734519676,,,9.376251220703125,,-3.4877722955519155,,,8.161321326147151,,,"Genesis Cabrera",17490,650893
2024,"Ryan Burr","TOR",32.2,-1.0964820014105903,,,,,,2.139231408160666,,,,,,,"Ryan Burr",17536,621114
2024,"Tanner Scott","- - -",72,3.6726145086855952,,,,,,-3.139940064250793,,,,7.526045799255371,,,"Tanner Scott",17586,656945
2024,"Mitch Keller","PIT",178,-5.822112261836028,,1.0683454715761551,,,-9.14060942484051,6.496446435615358,7.2082595268305205,,,-9.566472833806818,,,"Mitch Keller",17594,656605
2024,"Cristian Javier","HOU",34.2,-3.8299805777413503,,,,,,8.921381632486979,,7.457069091796875,,-7.760586607689951,,,"Cristian Javier",17606,664299
2024,"Tanner Rainey","WSN",51,-6.667371961805555,,,,,,0.7357865553635817,,,,-7.6121673583984375,,,"Tanner Rainey",17610,663432
2024,"Justin Lawrence","COL",59.2,,,,,,-8.910239955357143,7.139781605113637,,,,-5.809051513671875,,,"Justin Lawrence",17639,664875
2024,"Jeffrey Springs","TBR",33,6.116485723391737,,1.9553724435659556,,,7.298885822296143,-2.556318928424577,,,,8.219033012177025,,,"Jeffrey Springs",17677,605488
2024,"Trevor Megill","MIL",46.1,-3.289875447249212,,,,,-9.992048263549805,,,2.232211785567434,,,,,"Trevor Megill",17722,656730
2024,"Evan Phillips","LAD",54.2,-6.247543289412313,,-0.47458292643229166,,,-9.67320333501344,8.210294044623941,,,,,,,"Evan Phillips",17734,623465
2024,"Tyler Alexander","TBR",107.2,5.615221577305948,,-1.5638402399027123,,,9.77070095114512,-8.537175958806818,,,,8.619769447728208,,,"Tyler Alexander",17735,641302
2024,"José Alvarado","PHI",61.2,,,0.6229954845500443,,,7.2722921875,,-1.1386359532674153,,,,,,"Jose Alvarado",17780,621237
2024,"Dillon Tate","- - -",36.2,-7.575616836547852,,,,,-9.738398536993044,5.570974475841232,,,,-9.965889595650339,,,"Dillon Tate",17796,622253
2024,"Nestor Cortes","NYY",174.1,3.0303663911804297,,-2.1704089321485878,,,7.5626991271972654,-7.651040304654812,,,,8.004384488192471,,,"Nestor Cortes",17874,641482
2024,"Dennis Santana","- - -",71.2,-7.169046375849476,,0.018482928006154187,,,-10.505518732844171,0.8178298447158311,,,,-9.894764561806955,,,"Dennis Santana",17878,642701
2024,"Tayler Saucedo","SEA",38.2,6.529956665039062,,,,,10.633085009077904,-3.6731992660030244,-6.687536351821002,,,11.06371987271471,,,"Tayler Saucedo",17888,642048
